Time,DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,3.580309E+04,2.482207E+04,1.845846E+00,2.442459E+00,1.031875E+04,5.477347E+03,4.817016E-01,4.476778E-01
00:30:00,4.017997E+04,2.447345E+04,2.071298E+00,2.407948E+00,1.221620E+04,5.244113E+03,5.702350E-01,4.285959E-01
00:45:00,4.455722E+04,2.411931E+04,2.296571E+00,2.373098E+00,1.411702E+04,5.005750E+03,6.589094E-01,4.090996E-01
01:00:00,4.893546E+04,2.375849E+04,2.521813E+00,2.337689E+00,1.601930E+04,4.763033E+03,7.476390E-01,3.892552E-01
01:15:00,4.893748E+04,1.782351E+04,2.521406E+00,1.750513E+00,1.709114E+04,3.823109E+03,7.975781E-01,3.066047E-01
01:30:00,4.894073E+04,1.185796E+04,2.521251E+00,1.163699E+00,1.815965E+04,3.043463E+03,8.471908E-01,2.344922E-01
01:45:00,4.894431E+04,5.945803E+03,2.521307E+00,5.819475E-01,1.922564E+04,2.441457E+03,8.966172E-01,1.735395E-01
02:00:00,4.894744E+04,8.671037E+01,2.521422E+00,5.331670E-03,2.029103E+04,1.935632E+03,9.459994E-01,1.189749E-01
02:15:00,4.894997E+04,0.000000E+00,2.521535E+00,0.000000E+00,2.029297E+04,2.348307E+03,9.457498E-01,1.443091E-01
02:30:00,4.895184E+04,0.000000E+00,2.521626E+00,0.000000E+00,2.029574E+04,2.657865E+03,9.457506E-01,1.630964E-01
02:45:00,4.895327E+04,0.000000E+00,2.521698E+00,0.000000E+00,2.029808E+04,2.839515E+03,9.458137E-01,1.742889E-01
03:00:00,4.895438E+04,0.000000E+00,2.521754E+00,0.000000E+00,2.029986E+04,2.966262E+03,9.458807E-01,1.821061E-01
03:15:00,4.895535E+04,0.000000E+00,2.521804E+00,0.000000E+00,2.030131E+04,3.055444E+03,9.459429E-01,1.875912E-01
03:30:00,4.895621E+04,1.065452E+00,2.521849E+00,6.528396E-05,2.030251E+04,3.119213E+03,9.459974E-01,1.915091E-01
03:45:00,4.895698E+04,9.645926E+00,2.521888E+00,5.907195E-04,2.030352E+04,3.164926E+03,9.460436E-01,1.943157E-01
04:00:00,4.895766E+04,2.462673E+01,2.521923E+00,1.508104E-03,2.030436E+04,3.197570E+03,9.460830E-01,1.963189E-01
04:15:00,4.895827E+04,4.784578E+01,2.521955E+00,2.929998E-03,2.030509E+04,3.222690E+03,9.461169E-01,1.978595E-01
04:30:00,4.895883E+04,7.553067E+01,2.521984E+00,4.625372E-03,2.030573E+04,3.242465E+03,9.461465E-01,1.990719E-01
04:45:00,4.895934E+04,9.932593E+01,2.522010E+00,6.082639E-03,2.030629E+04,3.258621E+03,9.461727E-01,2.000620E-01
05:00:00,4.895981E+04,1.355634E+02,2.522034E+00,8.301909E-03,2.030679E+04,3.272691E+03,9.461961E-01,2.009243E-01
05:15:00,4.458331E+04,7.394761E+03,2.296590E+00,6.152678E-01,1.734891E+04,4.902699E+03,8.083735E-01,3.289141E-01
05:30:00,4.020677E+04,1.442083E+04,2.071321E+00,1.306245E+00,1.438839E+04,5.955244E+03,6.705860E-01,4.315933E-01
05:45:00,3.582912E+04,2.117172E+04,1.846095E+00,1.972917E+00,1.142384E+04,6.795954E+03,5.326292E-01,5.171217E-01
06:00:00,3.145023E+04,2.781732E+04,1.620846E+00,2.629138E+00,8.457193E+03,7.567945E+03,3.945799E-01,5.970371E-01
06:15:00,3.144744E+04,2.721383E+04,1.621035E+00,2.677880E+00,8.447842E+03,6.694572E+03,3.943274E-01,5.474427E-01
06:30:00,3.144400E+04,2.685161E+04,1.621019E+00,2.643438E+00,8.440452E+03,6.391064E+03,3.940087E-01,5.225979E-01
06:45:00,3.144112E+04,2.679149E+04,1.620932E+00,2.636037E+00,8.436603E+03,6.302867E+03,3.938363E-01,5.152446E-01
07:00:00,3.143902E+04,2.685732E+04,1.620844E+00,2.641815E+00,8.434460E+03,6.291899E+03,3.937381E-01,5.142495E-01
07:15:00,3.143737E+04,2.701272E+04,1.620766E+00,2.656887E+00,8.448410E+03,6.310627E+03,3.943898E-01,5.157648E-01
07:30:00,3.143606E+04,2.722780E+04,1.620701E+00,2.678031E+00,8.462723E+03,6.356174E+03,3.950579E-01,5.194901E-01
07:45:00,3.143502E+04,2.748843E+04,1.620647E+00,2.703741E+00,8.477270E+03,6.417552E+03,3.957368E-01,5.245136E-01
