Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,501855965.6971329,354408483.6682167,0.0,15146841.55919508,64112400.0,57896985.85326433,10260870.277633273,30384.33882352941,55897928.04094611,55825928.04094611,72000.0,402239631.3128921,13764587.50120306,656357.8931907268,399069226.10097369,0.0 
 01/01  02:00:00,492850462.65198579,347113125.6693418,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,60778304.57516654,60706304.57516654,72000.0,400711216.2473894,11343051.78096816,656357.8931907269,395678169.32947507,0.0 
 01/01  03:00:00,611995567.832585,464120549.54210069,0.0,15146841.55919508,64112400.0,57896985.85326433,10688406.539201325,30384.33882352941,83963057.71804537,79892371.43938573,4070686.2786596554,534419117.8484536,14068370.065894824,656357.8931907268,528034446.6936093,0.0 
 01/01  04:00:00,500170580.839171,354433243.8565269,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,63433935.578424308,63361935.578424308,72000.0,410127551.9651104,11165878.90825487,656357.8931907269,405122792.31926646,0.0 
 01/01  05:00:00,618480130.2696979,470605111.97921368,0.0,15146841.55919508,64112400.0,57896985.85326433,10688406.539201325,30384.33882352941,85696509.8405423,81625575.62647374,4070934.2140685708,542582325.800518,13911776.034630845,656357.8931907268,535905572.4803927,0.0 
 01/01  06:00:00,503910422.8551216,358173085.8724776,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,64177977.544834587,64105977.544834587,72000.0,414662184.39237627,11065520.89579452,1148626.3130837719,409457867.9083453,0.0 
 01/01  07:00:00,623943782.6511816,476068764.3606973,0.0,15146841.55919508,64112400.0,57896985.85326433,10688406.539201325,30384.33882352941,86689528.52322726,82618789.16744474,4070739.3557825267,549310739.1064098,13801070.135176717,656357.8931907268,542163795.6946532,0.0 
 01/01  08:00:00,458999158.65752598,356003421.67488196,0.0,15146841.55919508,21370800.0,57896985.85326433,8550725.23136106,30384.33882352941,64790230.84516836,64718230.84516836,72000.0,412994063.9913444,10988917.27873039,656357.8931907268,407778006.35101667,0.0 
 01/01  09:00:00,488480801.5273433,404718183.236859,0.0,15146841.55919508,0.0,57896985.85326433,10688406.539201325,30384.33882352941,84260857.53238544,80190095.31438983,4070762.217995614,474857653.8788494,14017217.931974873,656357.8931907268,468870259.4883709,0.0 
 01/01  10:00:00,342236032.2017968,260611095.21915279,0.0,15146841.55919508,0.0,57896985.85326433,8550725.23136106,30384.33882352941,58783985.19612321,58711985.19612321,72000.0,310085222.10383269,11475708.697910246,656357.8931907269,307580683.3760513,0.0 
 01/01  11:00:00,386885080.4412061,303122462.1507218,0.0,15146841.55919508,0.0,57896985.85326433,10688406.539201325,30384.33882352941,67642422.65026108,67570422.65026108,72000.0,361040761.94003608,17361065.30929937,656357.8931907268,357178800.27093067,0.0 
 01/01  12:00:00,292034499.82100096,210409562.83835698,0.0,15146841.55919508,0.0,57896985.85326433,8550725.23136106,30384.33882352941,51330647.229491148,47260068.23520522,4070578.9942859287,249618904.7728444,14670795.661515002,984536.83978609,248217617.42652113,0.0 
 01/01  13:00:00,355687215.08550736,271924596.7950231,0.0,15146841.55919508,0.0,57896985.85326433,10688406.539201325,30384.33882352941,57998871.58690484,53928225.61806035,4070645.968844484,315066109.7940918,17041251.237742276,984536.83978609,315067177.2894714,0.0 
 01/01  14:00:00,288261462.037884,206636525.05524007,0.0,15146841.55919508,0.0,57896985.85326433,8550725.23136106,30384.33882352941,38050940.59295006,37978940.59295006,72000.0,234238458.76055003,11998726.994057458,1476805.2596791352,237019677.52960009,0.0 
 01/01  15:00:00,349802358.680381,266039740.38989673,0.0,15146841.55919508,0.0,57896985.85326433,10688406.539201325,30384.33882352941,49364078.158388588,45293231.39756679,4070846.7608217957,299440050.5149311,15160670.65290479,984536.83978609,302274325.5079502,0.0 
 01/01  16:00:00,291708113.90496227,210083176.92231826,0.0,15146841.55919508,0.0,57896985.85326433,8550725.23136106,30384.33882352941,34157287.462679978,34085287.462679978,72000.0,234723219.5188104,12095846.345383812,656357.8931907268,237351406.89246226,0.0 
 01/01  17:00:00,411368858.9054593,284864640.6149751,0.0,15146841.55919508,42741600.0,57896985.85326433,10688406.539201325,30384.33882352941,47229302.95157132,43158496.50715742,4070806.444413902,316685151.1303463,14874453.955178384,656357.8931907268,319391437.820701,0.0 
 01/01  18:00:00,369523945.00984856,223786608.02720458,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,33659176.477235499,33587176.477235499,72000.0,248328714.61609806,11654599.448791508,656357.8931907268,250656349.208993,0.0 
 01/01  19:00:00,452401872.9160002,304526854.62551596,0.0,15146841.55919508,64112400.0,57896985.85326433,10688406.539201325,30384.33882352941,48997094.55425945,44926213.41586584,4070881.138393608,338766328.4274354,14559640.945297262,656357.8931907268,340467825.3582086,0.0 
 01/01  20:00:00,378932875.303827,233195538.3211829,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,34963864.61401771,34891864.61401771,72000.0,258848228.89791186,11582787.431194118,656357.8931907268,261109030.0123971,0.0 
 01/01  21:00:00,450194888.46571639,302319870.1752321,0.0,15146841.55919508,64112400.0,57896985.85326433,10688406.539201325,30384.33882352941,43912067.29986867,43840067.29986867,72000.0,335530358.37434366,14504919.930052273,656357.8931907268,337391924.01512709,0.0 
 01/01  22:00:00,377443557.3252319,231706220.34258796,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,38462464.373006198,34391525.724529389,4070938.648476801,257064591.93330688,11560268.318699519,1148626.3130837719,259219440.9222114,0.0 
 01/01  23:00:00,455420080.78806117,307545062.4975769,0.0,15146841.55919508,64112400.0,57896985.85326433,10688406.539201325,30384.33882352941,48236372.96224561,44165629.80342926,4070743.1588163587,341138092.639661,14477242.981112108,656357.8931907268,342877566.34032037,0.0 
 01/01  24:00:00,385670959.55447027,239933622.57182623,0.0,15146841.55919508,64112400.0,57896985.85326433,8550725.23136106,30384.33882352941,35259637.177785489,35187637.177785489,72000.0,266333747.59862767,11528647.76194991,656357.8931907269,268083732.3140546,0.0 
 01/02  01:00:00,488156285.15031948,320982271.57541379,0.0,15146841.55919508,64112400.0,77195981.13768575,10688406.539201325,30384.33882352941,48293916.92941627,48221916.92941627,72000.0,361193979.90940019,16326237.797734689,822188.3656156191,359559805.1189468,0.0 
 01/02  02:00:00,416256915.2001809,251220582.93311549,0.0,15146841.55919508,64112400.0,77195981.13768575,8550725.23136106,30384.33882352941,44124687.623105499,40053855.911826599,4070831.7112789,283909056.2036541,13184002.359045536,822188.3656156191,283263667.6625768,0.0 
 01/02  03:00:00,495085871.9001346,327911858.32522889,0.0,15146841.55919508,64112400.0,77195981.13768575,10688406.539201325,30384.33882352941,50737500.10366182,50665500.10366182,72000.0,370261082.0177217,16684682.816620712,822188.3656156191,368444258.4081583,0.0 
 01/02  04:00:00,415508492.92528989,250472160.65822444,0.0,15146841.55919508,64112400.0,77195981.13768575,8550725.23136106,30384.33882352941,43945284.47270033,39874373.05105102,4070911.4216493067,283071747.05648508,13179988.534214747,822188.3656156191,282371659.09906527,0.0 
