Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,3.301294E+00,4.069209E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.256678E+04,4.250924E+04,3.467411E+00,3.997764E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.508738E+00,1.768834E+04,4.894326E+04,5.393860E+00,3.167736E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.628690E+00,2.019117E+04,5.198045E+04
00:20:00,3.301615E+00,4.069071E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.242552E+04,4.197554E+04,3.468015E+00,3.997504E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.521804E+00,1.787407E+04,4.880196E+04,5.399102E+00,3.165476E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.633553E+00,2.018791E+04,5.159576E+04
00:30:00,3.301934E+00,4.068934E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.228426E+04,4.144423E+04,3.468619E+00,3.997245E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.533270E+00,1.802593E+04,4.861698E+04,5.404209E+00,3.163274E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.636802E+00,2.015649E+04,5.117765E+04
00:40:00,3.302250E+00,4.068798E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.214300E+04,4.091532E+04,3.469222E+00,3.996985E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.543465E+00,1.815180E+04,4.839907E+04,5.409177E+00,3.161133E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.638781E+00,2.010355E+04,5.073492E+04
00:50:00,3.302562E+00,4.068664E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.200174E+04,4.038878E+04,3.469822E+00,3.996727E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.552643E+00,1.825758E+04,4.815627E+04,5.413999E+00,3.159053E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.639753E+00,2.003420E+04,5.027425E+04
01:00:00,3.302870E+00,4.068531E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.186048E+04,3.986460E+04,3.470419E+00,3.996471E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.560998E+00,1.834772E+04,4.789465E+04,5.418680E+00,3.157036E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.639922E+00,1.995246E+04,4.980074E+04
01:10:00,3.303179E+00,4.068398E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.176631E+04,3.951646E+04,3.471023E+00,3.996211E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.570434E+00,1.850705E+04,4.783589E+04,5.423240E+00,3.155070E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.641196E+00,1.994107E+04,4.953252E+04
01:20:00,3.303484E+00,4.068267E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.167214E+04,3.916935E+04,3.471623E+00,3.995953E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.579377E+00,1.865535E+04,4.776412E+04,5.427669E+00,3.153160E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.642017E+00,1.992219E+04,4.925721E+04
01:30:00,3.303785E+00,4.068137E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.157797E+04,3.882329E+04,3.472219E+00,3.995696E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.587883E+00,1.879366E+04,4.768083E+04,5.431973E+00,3.151305E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.642457E+00,1.989710E+04,4.897625E+04
01:40:00,3.304082E+00,4.068010E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.148379E+04,3.847825E+04,3.472811E+00,3.995441E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.596021E+00,1.892319E+04,4.758767E+04,5.436156E+00,3.149501E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.642598E+00,1.986729E+04,4.869131E+04
01:50:00,3.304375E+00,4.067884E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.138962E+04,3.813424E+04,3.473399E+00,3.995189E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.603845E+00,1.904481E+04,4.748584E+04,5.440224E+00,3.147748E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.642505E+00,1.983394E+04,4.840374E+04
02:00:00,3.304664E+00,4.067759E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.129545E+04,3.779126E+04,3.473982E+00,3.994938E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.611397E+00,1.915913E+04,4.737620E+04,5.444181E+00,3.146041E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.642234E+00,1.979802E+04,4.811457E+04
02:10:00,3.304949E+00,4.067637E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.122482E+04,3.753469E+04,3.474562E+00,3.994688E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.618706E+00,1.929305E+04,4.734520E+04,5.448033E+00,3.144381E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.641823E+00,1.978630E+04,4.791199E+04
02:20:00,3.305230E+00,4.067516E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.115419E+04,3.727870E+04,3.475137E+00,3.994441E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.625807E+00,1.942173E+04,4.731298E+04,5.451783E+00,3.142764E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.641309E+00,1.977393E+04,4.771124E+04
02:30:00,3.305507E+00,4.067396E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.108356E+04,3.702327E+04,3.475707E+00,3.994195E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.632717E+00,1.954570E+04,4.727436E+04,5.455436E+00,3.141189E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.640710E+00,1.976155E+04,4.751082E+04
02:40:00,3.305781E+00,4.067279E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.101293E+04,3.676842E+04,3.476274E+00,3.993952E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.639452E+00,1.966521E+04,4.723102E+04,5.458995E+00,3.139655E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.640039E+00,1.974956E+04,4.731156E+04
02:50:00,3.306052E+00,4.067162E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.094230E+04,3.651413E+04,3.476836E+00,3.993710E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.646025E+00,1.978039E+04,4.718311E+04,5.462464E+00,3.138159E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.639312E+00,1.973828E+04,4.711376E+04
03:00:00,3.306318E+00,4.067048E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.087167E+04,3.626041E+04,3.477394E+00,3.993470E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.652446E+00,1.989131E+04,4.713076E+04,5.465846E+00,3.136701E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.638540E+00,1.972798E+04,4.691768E+04
03:10:00,3.306581E+00,4.066934E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.080104E+04,3.600726E+04,3.477947E+00,3.993232E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.658729E+00,1.999864E+04,4.707465E+04,5.469143E+00,3.135280E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.637736E+00,1.971960E+04,4.672425E+04
03:20:00,3.306841E+00,4.066823E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.073041E+04,3.575466E+04,3.478496E+00,3.992996E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.664872E+00,2.010456E+04,4.701704E+04,5.472361E+00,3.133893E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.636897E+00,1.971549E+04,4.653583E+04
03:30:00,3.307097E+00,4.066712E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.065978E+04,3.550263E+04,3.479041E+00,3.992762E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.670881E+00,2.020900E+04,4.695785E+04,5.475500E+00,3.132539E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.636019E+00,1.971576E+04,4.635249E+04
03:40:00,3.307350E+00,4.066604E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.058915E+04,3.525116E+04,3.479581E+00,3.992529E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.676759E+00,2.031206E+04,4.689721E+04,5.478563E+00,3.131219E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.635100E+00,1.971883E+04,4.617256E+04
