Time,CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,7.918063E+03,4.729147E+03,2.677587E-01,3.333609E-01,1.144815E+04,1.037861E+04,3.871329E-01,7.315900E-01,3.956931E+04,1.165809E+04,1.338083E+00,8.217791E-01,1.691506E+04,5.741010E+02,5.715289E-01,4.080720E-02,1.123762E+04,3.457487E+02,3.796883E-01,2.461928E-02,1.677001E+04,5.536931E+02,5.666272E-01,3.940889E-02,1.122658E+04,1.576004E+02,3.793156E-01,1.110821E-02,1.804225E+04,1.009721E+03,6.096193E-01,7.120264E-02,1.192354E+04,6.261393E+02,4.028672E-01,4.415341E-02,1.792072E+04,9.637197E+02,6.055121E-01,6.795788E-02,1.195889E+04,9.065990E+02,4.040613E-01,6.393753E-02,2.433176E+04,1.253961E+03,8.221534E-01,8.843111E-02,1.588452E+04,7.810042E+02,5.367130E-01,5.507748E-02,2.426260E+04,1.209333E+03,8.198152E-01,8.528296E-02,1.594536E+04,1.059350E+03,5.387688E-01,7.471369E-02
00:20:00,7.930271E+03,4.775932E+03,2.681715E-01,3.366584E-01,1.146625E+04,1.051800E+04,3.877449E-01,7.414141E-01,3.963860E+04,1.170999E+04,1.340426E+00,8.254354E-01,1.691724E+04,5.543208E+02,5.716027E-01,3.944651E-02,1.123900E+04,3.324571E+02,3.797349E-01,2.370624E-02,1.677221E+04,5.342128E+02,5.667014E-01,3.806970E-02,1.122796E+04,2.875186E+02,3.793622E-01,2.029561E-02,1.804636E+04,1.006638E+03,6.097580E-01,7.098564E-02,1.192614E+04,6.233729E+02,4.029550E-01,4.395855E-02,1.792485E+04,9.615712E+02,6.056519E-01,6.780679E-02,1.196149E+04,8.958684E+02,4.041491E-01,6.318083E-02,2.434623E+04,1.232192E+03,8.226424E-01,8.689600E-02,1.589365E+04,7.662788E+02,5.370216E-01,5.403901E-02,2.427717E+04,1.188574E+03,8.203078E-01,8.381908E-02,1.595448E+04,1.035924E+03,5.390772E-01,7.306125E-02
00:30:00,7.942382E+03,4.816297E+03,2.685811E-01,3.395033E-01,1.148438E+04,1.064032E+04,3.883580E-01,7.500345E-01,3.970619E+04,1.174468E+04,1.342712E+00,8.278783E-01,1.691941E+04,5.543208E+02,5.716759E-01,3.944651E-02,1.124037E+04,3.324571E+02,3.797812E-01,2.370624E-02,1.677439E+04,5.342128E+02,5.667751E-01,3.806970E-02,1.122933E+04,2.832531E+02,3.794085E-01,1.999493E-02,1.805046E+04,9.989249E+02,6.098966E-01,7.044181E-02,1.192874E+04,6.175102E+02,4.030428E-01,4.354513E-02,1.792899E+04,9.548787E+02,6.057917E-01,6.733495E-02,1.196408E+04,8.821147E+02,4.042369E-01,6.221061E-02,2.436030E+04,1.205775E+03,8.231179E-01,8.503266E-02,1.590252E+04,7.484528E+02,5.373216E-01,5.278162E-02,2.429134E+04,1.163226E+03,8.207865E-01,8.203122E-02,1.596336E+04,1.009592E+03,5.393770E-01,7.120347E-02
00:40:00,7.954368E+03,4.854161E+03,2.689864E-01,3.421717E-01,1.150250E+04,1.074910E+04,3.889707E-01,7.577000E-01,3.977200E+04,1.176583E+04,1.344937E+00,8.293663E-01,1.692156E+04,5.290028E+02,5.717486E-01,3.770448E-02,1.124172E+04,3.134412E+02,3.798271E-01,2.238951E-02,1.677655E+04,5.103349E+02,5.668482E-01,3.642451E-02,1.123069E+04,4.084995E+02,3.794543E-01,2.887265E-02,1.805455E+04,9.877336E+02,6.100350E-01,6.965243E-02,1.193133E+04,6.093183E+02,4.031304E-01,4.296730E-02,1.793312E+04,9.447725E+02,6.059312E-01,6.662213E-02,1.196668E+04,8.661881E+02,4.043245E-01,6.108693E-02,2.437397E+04,1.175928E+03,8.235799E-01,8.292715E-02,1.591115E+04,7.283378E+02,5.376130E-01,5.136262E-02,2.430510E+04,1.134495E+03,8.212517E-01,8.000445E-02,1.597197E+04,9.812139E+02,5.396682E-01,6.920125E-02
00:50:00,7.966195E+03,4.888057E+03,2.693863E-01,3.445603E-01,1.152055E+04,1.084703E+04,3.895809E-01,7.646007E-01,3.983592E+04,1.177623E+04,1.347099E+00,8.300972E-01,1.692368E+04,5.290028E+02,5.718204E-01,3.770448E-02,1.124307E+04,3.134412E+02,3.798725E-01,2.238951E-02,1.677869E+04,5.103349E+02,5.669205E-01,3.642451E-02,1.123203E+04,4.084995E+02,3.794997E-01,2.887265E-02,1.805863E+04,9.739536E+02,6.101728E-01,6.868032E-02,1.193392E+04,5.993920E+02,4.032176E-01,4.226705E-02,1.793723E+04,9.321262E+02,6.060701E-01,6.573002E-02,1.196926E+04,8.487310E+02,4.044117E-01,5.985518E-02,2.438723E+04,1.143583E+03,8.240280E-01,8.064528E-02,1.591951E+04,7.065547E+02,5.378956E-01,4.982588E-02,2.431845E+04,1.103297E+03,8.217028E-01,7.780361E-02,1.598033E+04,9.514397E+02,5.399507E-01,6.710043E-02
01:00:00,7.977854E+03,4.918017E+03,2.697806E-01,3.466714E-01,1.153851E+04,1.093618E+04,3.901883E-01,7.708830E-01,3.989801E+04,1.177806E+04,1.349199E+00,8.302241E-01,1.692578E+04,5.002153E+02,5.718913E-01,3.572160E-02,1.124439E+04,2.910304E+02,3.799173E-01,2.083164E-02,1.678080E+04,4.808204E+02,5.669919E-01,3.438274E-02,1.123336E+04,3.824261E+02,3.795445E-01,2.710348E-02,1.806269E+04,9.582694E+02,6.103099E-01,6.757381E-02,1.193648E+04,5.881901E+02,4.033044E-01,4.147678E-02,1.794132E+04,9.176126E+02,6.062082E-01,6.470612E-02,1.197183E+04,8.302316E+02,4.044985E-01,5.854985E-02,2.440009E+04,1.109456E+03,8.244625E-01,7.823770E-02,1.592762E+04,6.835836E+02,5.381697E-01,4.820532E-02,2.433140E+04,1.070343E+03,8.221403E-01,7.547875E-02,1.598844E+04,9.207596E+02,5.402246E-01,6.493568E-02
01:10:00,7.989483E+03,4.962535E+03,2.701738E-01,3.498087E-01,1.155670E+04,1.103687E+04,3.908036E-01,7.779779E-01,3.995852E+04,1.179169E+04,1.351245E+00,8.311822E-01,1.692789E+04,5.002153E+02,5.719624E-01,3.572160E-02,1.124572E+04,2.910304E+02,3.799622E-01,2.083164E-02,1.678292E+04,4.808204E+02,5.670633E-01,3.438274E-02,1.123469E+04,3.824261E+02,3.795894E-01,2.710348E-02,1.806679E+04,9.458987E+02,6.104486E-01,6.670088E-02,1.193908E+04,5.790615E+02,4.033922E-01,4.083267E-02,1.794545E+04,9.064357E+02,6.063481E-01,6.391744E-02,1.197442E+04,8.140650E+02,4.045863E-01,5.740901E-02,2.441261E+04,1.078787E+03,8.248856E-01,7.607391E-02,1.593551E+04,6.627864E+02,5.384364E-01,4.673804E-02,2.434400E+04,1.040859E+03,8.225661E-01,7.339864E-02,1.599633E+04,8.925491E+02,5.404912E-01,6.294512E-02
01:20:00,8.000940E+03,5.004525E+03,2.705613E-01,3.527678E-01,1.157479E+04,1.113228E+04,3.914153E-01,7.847014E-01,4.001733E+04,1.180048E+04,1.353234E+00,8.317994E-01,1.692996E+04,4.737577E+02,5.720325E-01,3.388947E-02,1.124703E+04,2.701955E+02,3.800064E-01,1.937623E-02,1.678500E+04,4.539143E+02,5.671339E-01,3.251251E-02,1.123600E+04,3.597368E+02,3.796337E-01,2.555763E-02,1.807087E+04,9.335018E+02,6.105864E-01,6.582619E-02,1.194166E+04,5.699099E+02,4.034795E-01,4.018699E-02,1.794957E+04,8.952486E+02,6.064870E-01,6.312811E-02,1.197701E+04,7.981337E+02,4.046735E-01,5.628486E-02,2.442476E+04,1.048270E+03,8.252961E-01,7.392096E-02,1.594317E+04,6.420874E+02,5.386953E-01,4.527778E-02,2.435622E+04,1.011533E+03,8.229793E-01,7.132978E-02,1.600398E+04,8.647262E+02,5.407499E-01,6.098203E-02
01:30:00,8.012228E+03,5.044169E+03,2.709430E-01,3.555616E-01,1.159277E+04,1.122305E+04,3.920234E-01,7.910973E-01,4.007451E+04,1.180520E+04,1.355167E+00,8.321301E-01,1.693201E+04,4.737577E+02,5.721017E-01,3.388947E-02,1.124832E+04,2.701955E+02,3.800501E-01,1.937623E-02,1.678706E+04,4.539143E+02,5.672035E-01,3.251251E-02,1.123729E+04,3.597368E+02,3.796774E-01,2.555763E-02,1.807492E+04,9.213519E+02,6.107233E-01,6.496891E-02,1.194423E+04,5.609220E+02,4.035661E-01,3.955286E-02,1.795365E+04,8.843192E+02,6.066251E-01,6.235695E-02,1.197957E+04,7.826181E+02,4.047602E-01,5.519005E-02,2.443655E+04,1.018205E+03,8.256947E-01,7.179996E-02,1.595061E+04,6.216903E+02,5.389466E-01,4.383885E-02,2.436809E+04,9.826618E+02,8.233804E-01,6.929300E-02,1.601141E+04,8.374847E+02,5.410010E-01,5.906001E-02
01:40:00,8.023349E+03,5.081825E+03,2.713191E-01,3.582153E-01,1.161064E+04,1.130988E+04,3.926276E-01,7.972162E-01,4.013012E+04,1.180672E+04,1.357048E+00,8.322359E-01,1.693403E+04,4.475051E+02,5.721699E-01,3.206330E-02,1.124960E+04,2.522287E+02,3.800932E-01,1.811987E-02,1.678910E+04,4.266553E+02,5.672722E-01,3.060873E-02,1.123857E+04,3.383402E+02,3.797205E-01,2.409410E-02,1.807894E+04,9.097019E+02,6.108592E-01,6.414690E-02,1.194678E+04,5.522689E+02,4.036522E-01,3.894236E-02,1.795771E+04,8.738954E+02,6.067621E-01,6.162146E-02,1.198212E+04,7.676829E+02,4.048462E-01,5.413622E-02,2.444801E+04,9.888729E+02,8.260819E-01,6.973070E-02,1.595783E+04,6.017830E+02,5.391907E-01,4.243451E-02,2.437962E+04,9.545203E+02,8.237700E-01,6.730777E-02,1.601863E+04,8.110025E+02,5.412449E-01,5.719162E-02
