Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,73144896.36155944,738279.3783045386,0.0,13347692.9325,35982000.0,6462622.566179999,16614301.484574907,394568835.5207232,394568835.5207232,322634404.2012017,0.0,310408699.4457279,0.0 
 01/01  02:00:00,74405522.5034209,1108614.845260181,0.0,13347692.9325,35982000.0,6462622.566179999,17504592.159480726,408721855.0223281,408721855.0223281,335662663.96068289,0.0,321808642.1170023,0.0 
 01/01  03:00:00,80561092.57816527,1190646.8452570379,0.0,13347692.9325,35982000.0,6462622.566179999,23578130.234228229,552514046.7988722,552514046.7988722,450979509.4432788,0.0,434717393.7576973,0.0 
 01/01  04:00:00,74704599.15909854,1266430.6628455467,0.0,13347692.9325,35982000.0,6462622.566179999,17645852.997572993,411443647.42436167,411443647.42436167,338077383.0936038,0.0,324105229.2112108,0.0 
 01/01  05:00:00,81034850.64226529,1336701.0749051034,0.0,13347692.9325,35982000.0,6462622.566179999,23905834.068680198,559558881.2334367,559558881.2334367,456906931.7780252,0.0,440384918.7248651,0.0 
 01/01  06:00:00,75006471.13498983,1396881.285572967,0.0,13347692.9325,35982000.0,6462622.566179999,17817274.35073687,414871668.2997857,414871668.2997857,341051065.75199469,0.0,326911443.21654978,0.0 
 01/01  07:00:00,81600999.37720543,1468110.2180201088,0.0,13347692.9325,35982000.0,6462622.566179999,24340573.660505333,569021645.192259,569021645.192259,464811425.57948938,0.0,447914333.3165332,0.0 
 01/01  08:00:00,51195629.95140862,1372279.0827656312,0.0,13347692.9325,11994000.0,6462622.566179999,18019035.369962988,419056156.076046,419056156.076046,344420817.39286157,0.0,330144636.8174971,0.0 
 01/01  09:00:00,119744241.64694372,6756462.028915498,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,1309155476.820805,1309155476.820805,685553439.2768538,0.0,1032384409.3401523,0.0 
 01/01  10:00:00,116797121.68578622,3809342.067758007,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,979994798.1338108,979994798.1338108,461752924.5480047,0.0,771289666.9769943,0.0 
 01/01  11:00:00,208236930.8427016,2237748.497313402,0.0,106781543.46,0.0,25850490.264719998,73367148.62066823,818427620.5359023,818427620.5359023,358892819.5332114,0.0,643010723.1314652,0.0 
 01/01  12:00:00,207675377.1753547,1676194.8299664998,0.0,106781543.46,0.0,25850490.264719998,73367148.62066823,729217990.0624697,729217990.0624697,311023346.03370067,0.0,572554719.6863974,0.0 
 01/01  13:00:00,270001131.6649711,1994347.5013429386,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,627461988.9340074,627461988.9340074,249721119.4773057,0.0,493287168.30659249,0.0 
 01/01  14:00:00,270270201.38342627,2263417.219798041,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066822,573509290.1618228,573509290.1618228,222478500.3304807,0.0,451380311.0762783,0.0 
 01/01  15:00:00,270318556.67397007,2311772.510341838,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,544058587.8776999,544058587.8776999,205575999.50047816,0.0,428394373.6132854,0.0 
 01/01  16:00:00,270481055.6286526,2474271.4650243998,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,533246641.5477579,533246641.5477579,197236884.04559715,0.0,420136926.1967127,0.0 
 01/01  17:00:00,294635634.20779976,2640850.044171581,0.0,160172315.18999998,23988000.0,34467320.35296,73367148.62066823,525292511.3655888,525292511.3655888,191178524.06567715,0.0,414114396.6860678,0.0 
 01/01  18:00:00,243366923.416996,1385741.0716077844,0.0,106781543.46,35982000.0,25850490.264719998,73367148.62066823,828219117.0079416,828219117.0079416,422723011.5555409,0.0,650324047.8553652,0.0 
 01/01  19:00:00,181673648.3449181,1700067.8177698693,0.0,53390771.73,35982000.0,17233660.17648,73367148.62066823,889217133.611211,889217133.611211,463583944.95308879,0.0,698458271.6367484,0.0 
 01/01  20:00:00,57117564.45835808,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1325248.959678086,41960812.04090593,41960812.04090593,34315368.21836089,0.0,33119808.930579764,0.0 
