Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,73144896.36155944,738279.3783045386,0.0,13347692.9325,35982000.0,6462622.566179999,16614301.484574907,394568835.5207232,394568835.5207232,322634404.2012017,0.0,310408699.4457279,0.0,89836950.10925386,0.0,157189313.21467556,0.0,40500035.61085866,0.0,38721043.680778089,0.0 
 01/01  02:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,74405522.5034209,1108614.845260181,0.0,13347692.9325,35982000.0,6462622.566179999,17504592.159480726,408721855.0223281,408721855.0223281,335662663.96068289,0.0,321808642.1170023,0.0,85742698.31295513,0.0,173599224.03151829,0.0,38998635.69223016,0.0,39826682.45808843,0.0 
 01/01  03:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,80561092.57816527,1190646.8452570379,0.0,13347692.9325,35982000.0,6462622.566179999,23578130.234228229,552514046.7988722,552514046.7988722,450979509.4432788,0.0,434717393.7576973,0.0,114927398.46369012,0.0,235548520.379054,0.0,52673278.68360989,0.0,53918300.683882649,0.0 
 01/01  04:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,74704599.15909854,1266430.6628455467,0.0,13347692.9325,35982000.0,6462622.566179999,17645852.997572993,411443647.42436167,411443647.42436167,338077383.0936038,0.0,324105229.2112108,0.0,85508080.81529129,0.0,175458595.58376447,0.0,39296088.9484888,0.0,40184507.26196109,0.0 
 01/01  05:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,81034850.64226529,1336701.0749051034,0.0,13347692.9325,35982000.0,6462622.566179999,23905834.068680198,559558881.2334367,559558881.2334367,456906931.7780252,0.0,440384918.7248651,0.0,115569605.75312881,0.0,239655178.78890748,0.0,53393307.14668386,0.0,54298581.09349095,0.0 
 01/01  06:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,75006471.13498983,1396881.285572967,0.0,13347692.9325,35982000.0,6462622.566179999,17817274.35073687,414871668.2997857,414871668.2997857,341051065.75199469,0.0,326911443.21654978,0.0,85965474.98869828,0.0,177768003.55058614,0.0,39391440.71135021,0.0,40169538.0946457,0.0 
 01/01  07:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,81600999.37720543,1468110.2180201088,0.0,13347692.9325,35982000.0,6462622.566179999,24340573.660505333,569021645.192259,569021645.192259,464811425.57948938,0.0,447914333.3165332,0.0,117499102.14662625,0.0,244848045.37833614,0.0,53679951.32278195,0.0,54722318.97484328,0.0 
 01/01  08:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,51195629.95140862,1372279.0827656312,0.0,13347692.9325,11994000.0,6462622.566179999,18019035.369962988,419056156.076046,419056156.076046,344420817.39286157,0.0,330144636.8174971,0.0,86887346.77285686,0.0,180559553.5541971,0.0,39245196.387156527,0.0,40061917.45404866,0.0 
 01/01  09:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,119744241.64694372,6756462.028915498,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,1309155476.820805,1309155476.820805,685553439.2768538,0.0,1032384409.3401523,0.0,197562314.5326251,0.0,710283092.1200416,0.0,94326177.45456945,0.0,96786132.88823536,0.0 
 01/01  10:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,116797121.68578622,3809342.067758007,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,979994798.1338108,979994798.1338108,461752924.5480047,0.0,771289666.9769943,0.0,145748611.90892948,0.0,560040893.3875258,0.0,66159163.65496844,0.0,68861425.64205422,0.0 
